Light Intensity, Ch A vs Actual Angular Position, Run #38
Actual Angular Position	Light Intensity Ch A (%max)
0.213	0.000
0.214	0.000
0.214	0.000
0.214	0.000
0.215	0.000
0.215	0.000
0.216	0.000
0.216	0.000
0.216	0.000
0.217	0.000
0.217	0.000
0.218	0.000
0.218	0.000
0.218	0.000
0.218	0.000
0.219	0.000
0.219	0.000
0.219	0.000
0.220	0.000
0.220	0.000
0.220	0.000
0.220	0.000
0.221	0.000
0.222	0.000
0.222	0.000
0.223	0.000
0.225	0.000
0.227	0.000
0.229	0.000
0.229	0.000
0.230	0.000
0.232	0.000
0.232	0.000
0.233	0.000
0.234	0.000
0.234	0.000
0.235	0.000
0.235	0.000
0.236	0.000
0.236	0.000
0.236	0.000
0.236	0.000
0.236	0.000
0.236	0.000
0.237	0.000
0.237	0.000
0.238	0.000
0.239	0.000
0.240	0.000
0.240	0.000
0.240	0.000
0.240	0.000
0.240	0.000
0.240	0.000
0.240	0.000
0.241	0.000
0.241	0.000
0.241	0.000
0.241	0.000
0.242	0.000
0.242	0.000
0.243	0.000
0.243	0.000
0.244	0.000
0.244	0.000
0.245	0.000
0.245	0.000
0.245	0.000
0.246	0.000
0.246	0.000
0.247	0.000
0.247	0.000
0.247	0.000
0.248	0.000
0.248	0.000
0.249	0.000
0.249	0.000
0.249	0.000
0.249	0.000
0.249	0.000
0.250	0.000
0.250	0.000
0.250	0.000
0.250	0.000
0.250	0.000
0.250	0.000
0.250	0.000
0.250	0.000
0.250	0.000
0.250	0.000
0.250	0.000
0.251	0.000
0.251	0.000
0.251	0.000
0.251	0.000
0.251	0.000
0.251	0.000
0.252	0.000
0.252	0.000
0.252	0.000
0.253	0.000
0.253	0.000
0.253	0.000
0.253	0.000
0.253	0.000
0.253	0.000
0.253	0.000
0.253	0.000
0.253	0.000
0.254	0.000
0.254	0.000
0.254	0.000
0.254	0.000
0.254	0.000
0.254	0.000
0.255	0.000
0.255	0.000
0.255	0.000
0.255	0.000
0.255	0.000
0.256	-0.098
0.256	0.000
0.256	0.000
0.256	0.000
0.256	0.000
0.256	0.000
0.256	0.000
0.257	0.098
0.257	0.000
0.257	0.000
0.257	0.000
0.258	0.000
0.258	0.000
0.258	0.098
0.258	0.000
